Place Name,Day,Aria Label
Clementi Mall,Sunday,0% busy at 6 am.
Clementi Mall,Sunday,0% busy at 7 am.
Clementi Mall,Sunday,0% busy at 8 am.
Clementi Mall,Sunday,0% busy at 9 am.
Clementi Mall,Sunday,53% busy at 10 am.
Clementi Mall,Sunday,68% busy at 11 am.
Clementi Mall,Sunday,77% busy at 12 pm.
Clementi Mall,Sunday,82% busy at 1 pm.
Clementi Mall,Sunday,82% busy at 2 pm.
Clementi Mall,Sunday,81% busy at 3 pm.
Clementi Mall,Sunday,84% busy at 4 pm.
Clementi Mall,Sunday,"Currently 80% busy, usually 89% busy."
Clementi Mall,Sunday,91% busy at 6 pm.
Clementi Mall,Sunday,83% busy at 7 pm.
Clementi Mall,Sunday,66% busy at 8 pm.
Clementi Mall,Sunday,45% busy at 9 pm.
Clementi Mall,Sunday,0% busy at 10 pm.
Clementi Mall,Sunday,0% busy at 11 pm.
Clementi Mall,Monday,0% busy at 6 am.
Clementi Mall,Monday,0% busy at 7 am.
Clementi Mall,Monday,0% busy at 8 am.
Clementi Mall,Monday,0% busy at 9 am.
Clementi Mall,Monday,40% busy at 10 am.
Clementi Mall,Monday,53% busy at 11 am.
Clementi Mall,Monday,63% busy at 12 pm.
Clementi Mall,Monday,66% busy at 1 pm.
Clementi Mall,Monday,62% busy at 2 pm.
Clementi Mall,Monday,62% busy at 3 pm.
Clementi Mall,Monday,69% busy at 4 pm.
Clementi Mall,Monday,82% busy at 5 pm.
Clementi Mall,Monday,92% busy at 6 pm.
Clementi Mall,Monday,85% busy at 7 pm.
Clementi Mall,Monday,66% busy at 8 pm.
Clementi Mall,Monday,43% busy at 9 pm.
Clementi Mall,Monday,0% busy at 10 pm.
Clementi Mall,Monday,0% busy at 11 pm.
Clementi Mall,Tuesday,0% busy at 6 am.
Clementi Mall,Tuesday,0% busy at 7 am.
Clementi Mall,Tuesday,0% busy at 8 am.
Clementi Mall,Tuesday,0% busy at 9 am.
Clementi Mall,Tuesday,42% busy at 10 am.
Clementi Mall,Tuesday,54% busy at 11 am.
Clementi Mall,Tuesday,64% busy at 12 pm.
Clementi Mall,Tuesday,66% busy at 1 pm.
Clementi Mall,Tuesday,63% busy at 2 pm.
Clementi Mall,Tuesday,62% busy at 3 pm.
Clementi Mall,Tuesday,70% busy at 4 pm.
Clementi Mall,Tuesday,84% busy at 5 pm.
Clementi Mall,Tuesday,97% busy at 6 pm.
Clementi Mall,Tuesday,91% busy at 7 pm.
Clementi Mall,Tuesday,71% busy at 8 pm.
Clementi Mall,Tuesday,46% busy at 9 pm.
Clementi Mall,Tuesday,0% busy at 10 pm.
Clementi Mall,Tuesday,0% busy at 11 pm.
Clementi Mall,Wednesday,0% busy at 6 am.
Clementi Mall,Wednesday,0% busy at 7 am.
Clementi Mall,Wednesday,0% busy at 8 am.
Clementi Mall,Wednesday,0% busy at 9 am.
Clementi Mall,Wednesday,42% busy at 10 am.
Clementi Mall,Wednesday,54% busy at 11 am.
Clementi Mall,Wednesday,64% busy at 12 pm.
Clementi Mall,Wednesday,67% busy at 1 pm.
Clementi Mall,Wednesday,64% busy at 2 pm.
Clementi Mall,Wednesday,64% busy at 3 pm.
Clementi Mall,Wednesday,71% busy at 4 pm.
Clementi Mall,Wednesday,86% busy at 5 pm.
Clementi Mall,Wednesday,100% busy at 6 pm.
Clementi Mall,Wednesday,94% busy at 7 pm.
Clementi Mall,Wednesday,74% busy at 8 pm.
Clementi Mall,Wednesday,48% busy at 9 pm.
Clementi Mall,Wednesday,0% busy at 10 pm.
Clementi Mall,Wednesday,0% busy at 11 pm.
Clementi Mall,Thursday,0% busy at 6 am.
Clementi Mall,Thursday,0% busy at 7 am.
Clementi Mall,Thursday,0% busy at 8 am.
Clementi Mall,Thursday,0% busy at 9 am.
Clementi Mall,Thursday,42% busy at 10 am.
Clementi Mall,Thursday,55% busy at 11 am.
Clementi Mall,Thursday,65% busy at 12 pm.
Clementi Mall,Thursday,68% busy at 1 pm.
Clementi Mall,Thursday,65% busy at 2 pm.
Clementi Mall,Thursday,64% busy at 3 pm.
Clementi Mall,Thursday,71% busy at 4 pm.
Clementi Mall,Thursday,85% busy at 5 pm.
Clementi Mall,Thursday,97% busy at 6 pm.
Clementi Mall,Thursday,91% busy at 7 pm.
Clementi Mall,Thursday,72% busy at 8 pm.
Clementi Mall,Thursday,48% busy at 9 pm.
Clementi Mall,Thursday,0% busy at 10 pm.
Clementi Mall,Thursday,0% busy at 11 pm.
Clementi Mall,Friday,0% busy at 6 am.
Clementi Mall,Friday,0% busy at 7 am.
Clementi Mall,Friday,0% busy at 8 am.
Clementi Mall,Friday,0% busy at 9 am.
Clementi Mall,Friday,42% busy at 10 am.
Clementi Mall,Friday,56% busy at 11 am.
Clementi Mall,Friday,68% busy at 12 pm.
Clementi Mall,Friday,72% busy at 1 pm.
Clementi Mall,Friday,68% busy at 2 pm.
Clementi Mall,Friday,66% busy at 3 pm.
Clementi Mall,Friday,72% busy at 4 pm.
Clementi Mall,Friday,84% busy at 5 pm.
Clementi Mall,Friday,94% busy at 6 pm.
Clementi Mall,Friday,89% busy at 7 pm.
Clementi Mall,Friday,73% busy at 8 pm.
Clementi Mall,Friday,51% busy at 9 pm.
Clementi Mall,Friday,0% busy at 10 pm.
Clementi Mall,Friday,0% busy at 11 pm.
Clementi Mall,Saturday,0% busy at 6 am.
Clementi Mall,Saturday,0% busy at 7 am.
Clementi Mall,Saturday,0% busy at 8 am.
Clementi Mall,Saturday,0% busy at 9 am.
Clementi Mall,Saturday,50% busy at 10 am.
Clementi Mall,Saturday,66% busy at 11 am.
Clementi Mall,Saturday,77% busy at 12 pm.
Clementi Mall,Saturday,81% busy at 1 pm.
Clementi Mall,Saturday,79% busy at 2 pm.
Clementi Mall,Saturday,76% busy at 3 pm.
Clementi Mall,Saturday,77% busy at 4 pm.
Clementi Mall,Saturday,81% busy at 5 pm.
Clementi Mall,Saturday,84% busy at 6 pm.
Clementi Mall,Saturday,79% busy at 7 pm.
Clementi Mall,Saturday,67% busy at 8 pm.
Clementi Mall,Saturday,48% busy at 9 pm.
Clementi Mall,Saturday,0% busy at 10 pm.
Clementi Mall,Saturday,0% busy at 11 pm.
VivoCity,Sunday,0% busy at 6 am.
VivoCity,Sunday,0% busy at 7 am.
VivoCity,Sunday,0% busy at 8 am.
VivoCity,Sunday,0% busy at 9 am.
VivoCity,Sunday,0% busy at 10 am.
VivoCity,Sunday,19% busy at 11 am.
VivoCity,Sunday,34% busy at 12 pm.
VivoCity,Sunday,45% busy at 1 pm.
VivoCity,Sunday,48% busy at 2 pm.
VivoCity,Sunday,50% busy at 3 pm.
VivoCity,Sunday,54% busy at 4 pm.
VivoCity,Sunday,"Currently 78% busy, usually 63% busy."
VivoCity,Sunday,70% busy at 6 pm.
VivoCity,Sunday,69% busy at 7 pm.
VivoCity,Sunday,56% busy at 8 pm.
VivoCity,Sunday,35% busy at 9 pm.
VivoCity,Sunday,18% busy at 10 pm.
VivoCity,Sunday,0% busy at 11 pm.
VivoCity,Monday,0% busy at 6 am.
VivoCity,Monday,0% busy at 7 am.
VivoCity,Monday,0% busy at 8 am.
VivoCity,Monday,0% busy at 9 am.
VivoCity,Monday,0% busy at 10 am.
VivoCity,Monday,19% busy at 11 am.
VivoCity,Monday,31% busy at 12 pm.
VivoCity,Monday,36% busy at 1 pm.
VivoCity,Monday,35% busy at 2 pm.
VivoCity,Monday,32% busy at 3 pm.
VivoCity,Monday,25% busy at 4 pm.
VivoCity,Monday,28% busy at 5 pm.
VivoCity,Monday,32% busy at 6 pm.
VivoCity,Monday,40% busy at 7 pm.
VivoCity,Monday,34% busy at 8 pm.
VivoCity,Monday,26% busy at 9 pm.
VivoCity,Monday,16% busy at 10 pm.
VivoCity,Monday,0% busy at 11 pm.
VivoCity,Tuesday,0% busy at 6 am.
VivoCity,Tuesday,0% busy at 7 am.
VivoCity,Tuesday,0% busy at 8 am.
VivoCity,Tuesday,0% busy at 9 am.
VivoCity,Tuesday,0% busy at 10 am.
VivoCity,Tuesday,19% busy at 11 am.
VivoCity,Tuesday,28% busy at 12 pm.
VivoCity,Tuesday,31% busy at 1 pm.
VivoCity,Tuesday,28% busy at 2 pm.
VivoCity,Tuesday,27% busy at 3 pm.
VivoCity,Tuesday,29% busy at 4 pm.
VivoCity,Tuesday,31% busy at 5 pm.
VivoCity,Tuesday,42% busy at 6 pm.
VivoCity,Tuesday,50% busy at 7 pm.
VivoCity,Tuesday,52% busy at 8 pm.
VivoCity,Tuesday,35% busy at 9 pm.
VivoCity,Tuesday,16% busy at 10 pm.
VivoCity,Tuesday,0% busy at 11 pm.
VivoCity,Wednesday,0% busy at 6 am.
VivoCity,Wednesday,0% busy at 7 am.
VivoCity,Wednesday,0% busy at 8 am.
VivoCity,Wednesday,0% busy at 9 am.
VivoCity,Wednesday,0% busy at 10 am.
VivoCity,Wednesday,19% busy at 11 am.
VivoCity,Wednesday,34% busy at 12 pm.
VivoCity,Wednesday,39% busy at 1 pm.
VivoCity,Wednesday,35% busy at 2 pm.
VivoCity,Wednesday,25% busy at 3 pm.
VivoCity,Wednesday,27% busy at 4 pm.
VivoCity,Wednesday,34% busy at 5 pm.
VivoCity,Wednesday,54% busy at 6 pm.
VivoCity,Wednesday,66% busy at 7 pm.
VivoCity,Wednesday,64% busy at 8 pm.
VivoCity,Wednesday,47% busy at 9 pm.
VivoCity,Wednesday,24% busy at 10 pm.
VivoCity,Wednesday,0% busy at 11 pm.
VivoCity,Thursday,0% busy at 6 am.
VivoCity,Thursday,0% busy at 7 am.
VivoCity,Thursday,0% busy at 8 am.
VivoCity,Thursday,0% busy at 9 am.
VivoCity,Thursday,0% busy at 10 am.
VivoCity,Thursday,17% busy at 11 am.
VivoCity,Thursday,31% busy at 12 pm.
VivoCity,Thursday,35% busy at 1 pm.
VivoCity,Thursday,29% busy at 2 pm.
VivoCity,Thursday,23% busy at 3 pm.
VivoCity,Thursday,25% busy at 4 pm.
VivoCity,Thursday,39% busy at 5 pm.
VivoCity,Thursday,60% busy at 6 pm.
VivoCity,Thursday,70% busy at 7 pm.
VivoCity,Thursday,63% busy at 8 pm.
VivoCity,Thursday,43% busy at 9 pm.
VivoCity,Thursday,25% busy at 10 pm.
VivoCity,Thursday,0% busy at 11 pm.
VivoCity,Friday,0% busy at 6 am.
VivoCity,Friday,0% busy at 7 am.
VivoCity,Friday,0% busy at 8 am.
VivoCity,Friday,0% busy at 9 am.
VivoCity,Friday,0% busy at 10 am.
VivoCity,Friday,28% busy at 11 am.
VivoCity,Friday,43% busy at 12 pm.
VivoCity,Friday,46% busy at 1 pm.
VivoCity,Friday,38% busy at 2 pm.
VivoCity,Friday,35% busy at 3 pm.
VivoCity,Friday,35% busy at 4 pm.
VivoCity,Friday,48% busy at 5 pm.
VivoCity,Friday,71% busy at 6 pm.
VivoCity,Friday,87% busy at 7 pm.
VivoCity,Friday,89% busy at 8 pm.
VivoCity,Friday,72% busy at 9 pm.
VivoCity,Friday,46% busy at 10 pm.
VivoCity,Friday,25% busy at 11 pm.
VivoCity,Saturday,0% busy at 6 am.
VivoCity,Saturday,0% busy at 7 am.
VivoCity,Saturday,0% busy at 8 am.
VivoCity,Saturday,0% busy at 9 am.
VivoCity,Saturday,0% busy at 10 am.
VivoCity,Saturday,18% busy at 11 am.
VivoCity,Saturday,28% busy at 12 pm.
VivoCity,Saturday,39% busy at 1 pm.
VivoCity,Saturday,41% busy at 2 pm.
VivoCity,Saturday,43% busy at 3 pm.
VivoCity,Saturday,49% busy at 4 pm.
VivoCity,Saturday,68% busy at 5 pm.
VivoCity,Saturday,88% busy at 6 pm.
VivoCity,Saturday,100% busy at 7 pm.
VivoCity,Saturday,86% busy at 8 pm.
VivoCity,Saturday,60% busy at 9 pm.
VivoCity,Saturday,32% busy at 10 pm.
VivoCity,Saturday,15% busy at 11 pm.
Clarke Quay,Sunday,0% busy at 6 am.
Clarke Quay,Sunday,0% busy at 7 am.
Clarke Quay,Sunday,0% busy at 8 am.
Clarke Quay,Sunday,0% busy at 9 am.
Clarke Quay,Sunday,0% busy at 10 am.
Clarke Quay,Sunday,2% busy at 11 am.
Clarke Quay,Sunday,8% busy at 12 pm.
Clarke Quay,Sunday,20% busy at 1 pm.
Clarke Quay,Sunday,42% busy at 2 pm.
Clarke Quay,Sunday,42% busy at 3 pm.
Clarke Quay,Sunday,65% busy at 4 pm.
Clarke Quay,Sunday,"Currently 56% busy, usually 100% busy."
Clarke Quay,Sunday,82% busy at 6 pm.
Clarke Quay,Sunday,48% busy at 7 pm.
Clarke Quay,Sunday,34% busy at 8 pm.
Clarke Quay,Sunday,0% busy at 9 pm.
Clarke Quay,Sunday,0% busy at 10 pm.
Clarke Quay,Sunday,0% busy at 11 pm.
Clarke Quay,Monday,0% busy at 6 am.
Clarke Quay,Monday,0% busy at 7 am.
Clarke Quay,Monday,0% busy at 8 am.
Clarke Quay,Monday,0% busy at 9 am.
Clarke Quay,Monday,0% busy at 10 am.
Clarke Quay,Monday,82% busy at 11 am.
Clarke Quay,Monday,57% busy at 12 pm.
Clarke Quay,Monday,71% busy at 1 pm.
Clarke Quay,Monday,37% busy at 2 pm.
Clarke Quay,Monday,40% busy at 3 pm.
Clarke Quay,Monday,31% busy at 4 pm.
Clarke Quay,Monday,48% busy at 5 pm.
Clarke Quay,Monday,54% busy at 6 pm.
Clarke Quay,Monday,34% busy at 7 pm.
Clarke Quay,Monday,25% busy at 8 pm.
Clarke Quay,Monday,0% busy at 9 pm.
Clarke Quay,Monday,0% busy at 10 pm.
Clarke Quay,Monday,0% busy at 11 pm.
Clarke Quay,Tuesday,0% busy at 6 am.
Clarke Quay,Tuesday,0% busy at 7 am.
Clarke Quay,Tuesday,0% busy at 8 am.
Clarke Quay,Tuesday,0% busy at 9 am.
Clarke Quay,Tuesday,0% busy at 10 am.
Clarke Quay,Tuesday,22% busy at 11 am.
Clarke Quay,Tuesday,22% busy at 12 pm.
Clarke Quay,Tuesday,8% busy at 1 pm.
Clarke Quay,Tuesday,5% busy at 2 pm.
Clarke Quay,Tuesday,0% busy at 3 pm.
Clarke Quay,Tuesday,2% busy at 4 pm.
Clarke Quay,Tuesday,0% busy at 5 pm.
Clarke Quay,Tuesday,0% busy at 6 pm.
Clarke Quay,Tuesday,2% busy at 7 pm.
Clarke Quay,Tuesday,14% busy at 8 pm.
Clarke Quay,Tuesday,0% busy at 9 pm.
Clarke Quay,Tuesday,0% busy at 10 pm.
Clarke Quay,Tuesday,0% busy at 11 pm.
Clarke Quay,Wednesday,0% busy at 6 am.
Clarke Quay,Wednesday,0% busy at 7 am.
Clarke Quay,Wednesday,0% busy at 8 am.
Clarke Quay,Wednesday,0% busy at 9 am.
Clarke Quay,Wednesday,0% busy at 10 am.
Clarke Quay,Wednesday,31% busy at 11 am.
Clarke Quay,Wednesday,31% busy at 12 pm.
Clarke Quay,Wednesday,11% busy at 1 pm.
Clarke Quay,Wednesday,8% busy at 2 pm.
Clarke Quay,Wednesday,17% busy at 3 pm.
Clarke Quay,Wednesday,20% busy at 4 pm.
Clarke Quay,Wednesday,34% busy at 5 pm.
Clarke Quay,Wednesday,22% busy at 6 pm.
Clarke Quay,Wednesday,20% busy at 7 pm.
Clarke Quay,Wednesday,17% busy at 8 pm.
Clarke Quay,Wednesday,0% busy at 9 pm.
Clarke Quay,Wednesday,0% busy at 10 pm.
Clarke Quay,Wednesday,0% busy at 11 pm.
Clarke Quay,Thursday,0% busy at 6 am.
Clarke Quay,Thursday,0% busy at 7 am.
Clarke Quay,Thursday,0% busy at 8 am.
Clarke Quay,Thursday,0% busy at 9 am.
Clarke Quay,Thursday,0% busy at 10 am.
Clarke Quay,Thursday,8% busy at 11 am.
Clarke Quay,Thursday,0% busy at 12 pm.
Clarke Quay,Thursday,2% busy at 1 pm.
Clarke Quay,Thursday,17% busy at 2 pm.
Clarke Quay,Thursday,28% busy at 3 pm.
Clarke Quay,Thursday,51% busy at 4 pm.
Clarke Quay,Thursday,42% busy at 5 pm.
Clarke Quay,Thursday,20% busy at 6 pm.
Clarke Quay,Thursday,8% busy at 7 pm.
Clarke Quay,Thursday,8% busy at 8 pm.
Clarke Quay,Thursday,0% busy at 9 pm.
Clarke Quay,Thursday,0% busy at 10 pm.
Clarke Quay,Thursday,0% busy at 11 pm.
Clarke Quay,Friday,0% busy at 6 am.
Clarke Quay,Friday,0% busy at 7 am.
Clarke Quay,Friday,0% busy at 8 am.
Clarke Quay,Friday,0% busy at 9 am.
Clarke Quay,Friday,0% busy at 10 am.
Clarke Quay,Friday,74% busy at 11 am.
Clarke Quay,Friday,60% busy at 12 pm.
Clarke Quay,Friday,42% busy at 1 pm.
Clarke Quay,Friday,42% busy at 2 pm.
Clarke Quay,Friday,54% busy at 3 pm.
Clarke Quay,Friday,54% busy at 4 pm.
Clarke Quay,Friday,40% busy at 5 pm.
Clarke Quay,Friday,40% busy at 6 pm.
Clarke Quay,Friday,17% busy at 7 pm.
Clarke Quay,Friday,8% busy at 8 pm.
Clarke Quay,Friday,0% busy at 9 pm.
Clarke Quay,Friday,0% busy at 10 pm.
Clarke Quay,Friday,0% busy at 11 pm.
Clarke Quay,Saturday,0% busy at 6 am.
Clarke Quay,Saturday,0% busy at 7 am.
Clarke Quay,Saturday,0% busy at 8 am.
Clarke Quay,Saturday,0% busy at 9 am.
Clarke Quay,Saturday,0% busy at 10 am.
Clarke Quay,Saturday,31% busy at 11 am.
Clarke Quay,Saturday,54% busy at 12 pm.
Clarke Quay,Saturday,94% busy at 1 pm.
Clarke Quay,Saturday,65% busy at 2 pm.
Clarke Quay,Saturday,42% busy at 3 pm.
Clarke Quay,Saturday,25% busy at 4 pm.
Clarke Quay,Saturday,11% busy at 5 pm.
Clarke Quay,Saturday,11% busy at 6 pm.
Clarke Quay,Saturday,11% busy at 7 pm.
Clarke Quay,Saturday,25% busy at 8 pm.
Clarke Quay,Saturday,17% busy at 9 pm.
Clarke Quay,Saturday,0% busy at 10 pm.
Clarke Quay,Saturday,0% busy at 11 pm.
Suntec City,Sunday,0% busy at 6 am.
Suntec City,Sunday,0% busy at 7 am.
Suntec City,Sunday,0% busy at 8 am.
Suntec City,Sunday,0% busy at 9 am.
Suntec City,Sunday,37% busy at 10 am.
Suntec City,Sunday,52% busy at 11 am.
Suntec City,Sunday,65% busy at 12 pm.
Suntec City,Sunday,73% busy at 1 pm.
Suntec City,Sunday,77% busy at 2 pm.
Suntec City,Sunday,78% busy at 3 pm.
Suntec City,Sunday,77% busy at 4 pm.
Suntec City,Sunday,"Currently 96% busy, usually 76% busy."
Suntec City,Sunday,72% busy at 6 pm.
Suntec City,Sunday,63% busy at 7 pm.
Suntec City,Sunday,49% busy at 8 pm.
Suntec City,Sunday,34% busy at 9 pm.
Suntec City,Sunday,0% busy at 10 pm.
Suntec City,Sunday,0% busy at 11 pm.
Suntec City,Monday,0% busy at 6 am.
Suntec City,Monday,0% busy at 7 am.
Suntec City,Monday,0% busy at 8 am.
Suntec City,Monday,0% busy at 9 am.
Suntec City,Monday,18% busy at 10 am.
Suntec City,Monday,27% busy at 11 am.
Suntec City,Monday,35% busy at 12 pm.
Suntec City,Monday,37% busy at 1 pm.
Suntec City,Monday,33% busy at 2 pm.
Suntec City,Monday,29% busy at 3 pm.
Suntec City,Monday,27% busy at 4 pm.
Suntec City,Monday,29% busy at 5 pm.
Suntec City,Monday,31% busy at 6 pm.
Suntec City,Monday,30% busy at 7 pm.
Suntec City,Monday,26% busy at 8 pm.
Suntec City,Monday,19% busy at 9 pm.
Suntec City,Monday,0% busy at 10 pm.
Suntec City,Monday,0% busy at 11 pm.
Suntec City,Tuesday,0% busy at 6 am.
Suntec City,Tuesday,0% busy at 7 am.
Suntec City,Tuesday,0% busy at 8 am.
Suntec City,Tuesday,0% busy at 9 am.
Suntec City,Tuesday,22% busy at 10 am.
Suntec City,Tuesday,31% busy at 11 am.
Suntec City,Tuesday,41% busy at 12 pm.
Suntec City,Tuesday,42% busy at 1 pm.
Suntec City,Tuesday,38% busy at 2 pm.
Suntec City,Tuesday,34% busy at 3 pm.
Suntec City,Tuesday,32% busy at 4 pm.
Suntec City,Tuesday,34% busy at 5 pm.
Suntec City,Tuesday,36% busy at 6 pm.
Suntec City,Tuesday,36% busy at 7 pm.
Suntec City,Tuesday,31% busy at 8 pm.
Suntec City,Tuesday,23% busy at 9 pm.
Suntec City,Tuesday,0% busy at 10 pm.
Suntec City,Tuesday,0% busy at 11 pm.
Suntec City,Wednesday,0% busy at 6 am.
Suntec City,Wednesday,0% busy at 7 am.
Suntec City,Wednesday,0% busy at 8 am.
Suntec City,Wednesday,0% busy at 9 am.
Suntec City,Wednesday,22% busy at 10 am.
Suntec City,Wednesday,33% busy at 11 am.
Suntec City,Wednesday,43% busy at 12 pm.
Suntec City,Wednesday,45% busy at 1 pm.
Suntec City,Wednesday,40% busy at 2 pm.
Suntec City,Wednesday,35% busy at 3 pm.
Suntec City,Wednesday,33% busy at 4 pm.
Suntec City,Wednesday,36% busy at 5 pm.
Suntec City,Wednesday,40% busy at 6 pm.
Suntec City,Wednesday,40% busy at 7 pm.
Suntec City,Wednesday,35% busy at 8 pm.
Suntec City,Wednesday,26% busy at 9 pm.
Suntec City,Wednesday,0% busy at 10 pm.
Suntec City,Wednesday,0% busy at 11 pm.
Suntec City,Thursday,0% busy at 6 am.
Suntec City,Thursday,0% busy at 7 am.
Suntec City,Thursday,0% busy at 8 am.
Suntec City,Thursday,0% busy at 9 am.
Suntec City,Thursday,20% busy at 10 am.
Suntec City,Thursday,30% busy at 11 am.
Suntec City,Thursday,39% busy at 12 pm.
Suntec City,Thursday,42% busy at 1 pm.
Suntec City,Thursday,38% busy at 2 pm.
Suntec City,Thursday,35% busy at 3 pm.
Suntec City,Thursday,34% busy at 4 pm.
